date,headline,source,summary
2024-01-01,Certificate enclosed,BSE,"Compliances-Certificate under Reg. 74 (5) of SEBI (DP) Regulations, 2018"
2024-01-05,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-01-06,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-01-11,Announcement under Regulation 30 of SEBI LODR Regulations,BSE,Announcement Under Regulation 30 Of SEBI LODR Regulations
2024-01-11,Re-appointment of Chitra Nayak for the 2nd term of three years,BSE,Announcement Under
2024-01-11,"Audited financial results for the quarter ended Dec 31, 2023",BSE,"Audited Financial Results For The Quarter Ended December 31, 2023"
2024-01-11,Intimation pursuant to Regulation 30 of SEBI LODR regulations,BSE,Announcement under Regulation 30 (LODR)-Acquisition
2024-01-11,"Board meeting outcome - January 11, 2024",BSE,"Board Meeting Outcome for Outcome Of Board Meeting - January 11, 2024"
2024-01-12,Please find enclosed clarification enclosed.,BSE,News Clarification
2024-01-12,Auditors Report with UDIN,BSE,"Auditors Report On Financial Statements For The Quarter Ended December 31, 2023 With UDIN"
2024-01-12,Newspaper advertisement enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-01-13,Press release enclosed,BSE,Six Winners Of The Infosys Prize 2023 Felicitated
2024-01-13,Newspaper advertisement enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-01-16,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-01-16,Enclosed,BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2024-01-17,Press release attached.,BSE,"Infosys, A Top 3 IT Services Brand Globally. Leads The IT Services Industry With The Fastest CAGR In Brand Value Over 5 Years. Infosys' Salil Parekh Is The No.1 IT Services CEO In Brand Guardianship Index 2024"
2024-01-18,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-01-19,"Postal Ballot Notice dated January 11, 2024",BSE,Shareholder Meeting / Postal Ballot-Notice of Postal Ballot
2024-01-19,Disclosure under Regulation 30 of SEBI LODR regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-01-20,Enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-01-24,Press release enclosed.,BSE,Infosys Brings AI-First Technologies To Centre Court For A More Immersive Australian Open 2024 Experience
2024-01-24,Investor Conference,BSE,Investor Conference
2024-01-27,Press release enclosed,BSE,APAC Businesses Expected To Nearly Triple Spending On Generative AI To US$3.4Bn In 2024: Infosys Research
2024-01-29,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-01-30,Press release enclosed.,BSE,Regional Investment Corporation Australia Subscribes To Infosys Finacle'S Saas Offering On AWS For Its Lending Operations
2024-01-31,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Kumari Shibulal & Gaurav Manchanda",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-01-31,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-01-31,Press release enclosed.,BSE,Infosys Collaborates With Musgrave To Drive Cognitive First IT Transformation
2024-02-01,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Nikita Shibulal Manchanda, Milan Shibulal Manchanda, ....",BSE,"Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011"
2024-02-01,Press release enclosed,BSE,Infosys Celebrates 25 Years Of Delivering Innovation With SAP
2024-02-02,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-02-02,Grant of stock incentive units,BSE,Grant Of Stock Incentive Units
2024-02-05,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-02-07,Investor Conference,BSE,Investor Conference
2024-02-09,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-02-13,Allotment of equity shares,BSE,Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS
2024-02-13,Press release enclosed.,BSE,Infosys Collaborates With Pacific International Lines To Drive Digital Transformation In Logistics Industry
2024-02-14,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-02-19,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-02-21,press release enclosed,BSE,Dow Jones And Infosys Introduce Upgraded Preference Center For Wall Street Journal Subscribers
2024-02-21,enclosed,BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-02-21,Press release enclosed.,BSE,Infosys Foundation And The Centre For Cellular And Molecular Platforms To Strengthen Maternity Care In Karnataka
2024-02-22,"Postal Ballot voting results, Scrutinizer''s report and Minutes of postal ballot proceedings",BSE,"Shareholder Meeting / Postal Ballot-Scrutinizer""s Report"
2024-02-23,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
2024-02-27,Press release enclosed,BSE,"Infosys Topaz Unveils Responsible AI Suite Of Offerings, To Help Enterprises Navigate The Regulatory And Ethical Complexities Of AI-Powered Transformation"
2024-02-28,Disclosure under Regulation 30 of SEBI LODR Regulations,BSE,Disclosure Under Regulation 30 Of SEBI LODR Regulations
