date,headline,source,summary
2024-01-09,"Pursuant to Regulation 30 of SEBI  (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby inform you that the term of office of Mr. Daniel Hughes Callahan (DIN: ....",BSE,Announcement under Regulation 30 (LODR)-Retirement
2024-01-10,"Pursuant to Regulation 39(3) of Listing Regulations, please find enclosed the intimation letter received from our Registrars and Share Transfer Agent - Link Intime India Private Limited, ....",BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
2024-01-11,Declaration of Third Interim Dividend and Special Dividend,BSE,Corporate Action-Board approves Dividend
2024-01-11,"Press release dated January 11, 2024",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-11,"Third Interim Dividend and Special Dividend shall be paid on Monday, February 5, 2024",BSE,Announcement under Regulation 30 (LODR)-Date of payment of Dividend
2024-01-11,Outcome of board meeting,BSE,Board Meeting Outcome for Outcome Of Board Meeting
2024-01-11,"Audio and video recording of the press conference and audio recording of earnings conference call for the quarter ended December 31, 2023",BSE,"Audio And Video Recording Of The Press Conference And Audio Recording Of Earnings Conference Call For The Quarter Ended December 31, 2023"
2024-01-11,"Financial results for the quarter and nine month period ended December 31, 2023 and declaration of Third Interim Dividend and Special Dividend",BSE,"Financial Results For The Quarter And Nine Month Period Ended December 31, 2023 And Declaration Of Third Interim Dividend And Special Dividend"
2024-01-12,"Pursuant to Regulation 30 read with Schedule III Part A Para A and Regulation 47 of SEBI Listing Regulations, we hereby enclose copies of newspaper advertisement published in Business Standard ....",BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-01-12,"TCS strengthens AI readiness, launches new AI Experience Zone",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-13,"Tata Consultancy Services Limited has informed the exchange about copy of newspaper publication for Financial Results for quarter and nine-month period ended December 31, 2023.",BSE,Announcement under Regulation 30 (LODR)-Newspaper Publication
2024-01-15,"Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we enclose herewith Schedule of Analyst/Institutional Investor Meeting with
Key Managerial ....",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-01-16,"Transcript of the earnings conference call for the quarter and nine month period ended December 31, 2023.",BSE,Announcement under Regulation 30 (LODR)-Earnings Call Transcript
2024-01-17,"TCS gains US $2 billion in Brand Value, highest value growth across the global IT Services Industry for the year.",BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-17,TCS and Macquarie University launch new Australian research hub to guide organisations in their net-zero journeys,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-18,TCS Recognized as Top Employer in Europe by Top Employers Institute,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-22,TCS creates Europe''s most modern post-trade platform with Euroclear Finland.,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-23,TCS Ranks No.1 in Customer Satisfaction in France for 5th year,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-01-30,TCS Expands Strategic Partnership with Aviva with a new 15-year agreement in the UK,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-02-01,"Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we enclose herewith Schedule of Analyst/Institutional Investor Meetings with Key Managerial ....",BSE,Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
2024-02-01,TCS Named One of World''s Most Admired Companies by FORTUNE Magazine,BSE,Announcement under Regulation 30 (LODR)-Press Release / Media Release
2024-02-02,"Intimation for loss of share certificates as per Regulation 39(3) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 (""Listing Regulations"")",BSE,Compliances-Reg. 39 (3) - Details of Loss of Certificate / Duplicate Certificate
